"name: KCH.1125.Mon, distance: 2285.2763456522, start time: 2024-11-25T04:26:21.786Z, duration: 10301.989000082",time,latitude,longitude,alt,speed,course,horiz_acc,vert_acc,rel_alt
,2024-11-25T04:26:21.010Z,37.5497808092,127.0738586101,21.0108947851,0.0,-,28.625,32.0,-
,2024-11-25T04:26:22.010Z,37.549840153,127.073885516,21.0045471289,0.0,356.8358892195,23.0625,24.0,-
,2024-11-25T04:26:23.009Z,37.5498845352,127.0738586101,18.2811584557,0.0,341.3669031815,19.9375,24.0,0.0
,2024-11-25T04:26:24.008Z,37.5499201583,127.0739011063,21.7793274027,0.0,26.3620965896,17.5,16.0,0.0
,2024-11-25T04:26:25.008Z,37.5499287917,127.0739163614,23.0827942002,0.6699981691,136.7544060425,16.8125,12.0,0.0
,2024-11-25T04:26:26.007Z,37.5499243912,127.0739215582,22.6083068952,0.6699981691,136.7544060425,16.8125,11.9375,-
,2024-11-25T04:26:27.007Z,37.5499266124,127.0739322032,23.0838012802,0.7699890138,146.949874113,16.1875,11.9375,-0.0316772461
,2024-11-25T04:26:28.006Z,37.5499218347,127.0739457819,23.7535400501,0.8699951173,136.7544060425,15.75,11.9375,-0.0369873047
,2024-11-25T04:26:29.006Z,37.549915674,127.0739515654,23.8688354603,0.8699951173,137.809109636,15.4375,11.9375,-0.0369873047
,2024-11-25T04:26:30.005Z,37.5499053642,127.0739679101,25.4784851192,0.8699951173,137.809109636,15.4375,8.25,-0.0369873047
,2024-11-25T04:26:31.005Z,37.5499018438,127.0739741127,23.1750793564,0.9299926759,137.809109636,15.375,8.25,-0.0633850097
,2024-11-25T04:26:32.005Z,37.5498922885,127.0739813212,22.2887878521,0.9499969484,144.4888990615,15.3125,8.3125,-0.0950927734
,2024-11-25T04:26:33.004Z,37.5498823559,127.0739962409,23.4882507433,1.4399871829,143.7857633325,15.1875,8.5,-0.1321105957
,2024-11-25T04:26:34.004Z,37.5498796737,127.0740145973,22.5612793073,1.4399871829,127.6136415655,15.75,7.4375,-0.1479492188
,2024-11-25T04:26:35.004Z,37.5498747284,127.0740322831,23.5104675402,1.3599853518,124.0979629205,15.75,7.4375,-0.1902465821
,2024-11-25T04:26:36.003Z,37.549868442,127.0740431796,22.7680358992,1.3199920657,127.96520943,15.75,7.4375,-0.2272338868
,2024-11-25T04:26:37.003Z,37.549859641,127.0740525673,22.4749450788,1.3199920657,127.96520943,15.8125,7.25,-0.2589416505
,2024-11-25T04:26:38.003Z,37.5498502113,127.0740595243,22.1034851177,1.2099914553,127.96520943,15.8125,7.25,-0.2853698731
,2024-11-25T04:26:39.003Z,37.5498371775,127.0740604463,22.5826110945,1.2099914553,158.200045777,15.8125,7.25,-
,2024-11-25T04:26:40.002Z,37.5498266582,127.0740674033,23.5987243762,1.2099914553,159.9578850995,15.8125,7.3125,-0.2906494141
,2024-11-25T04:26:41.002Z,37.5498167256,127.0740730192,23.9279480091,1.1099853518,162.418860151,15.8125,7.3125,-0.2906494141
,2024-11-25T04:26:42.002Z,37.5498074217,127.0740797247,23.9830932728,1.1099853518,158.200045777,15.75,7.375,-0.2695007325
,2024-11-25T04:26:43.002Z,37.5497925438,127.0740861788,24.2447815054,1.4499969485,163.4735637445,16.0625,6.6875,-0.2219543458
,2024-11-25T04:26:44.002Z,37.5497810187,127.0740922137,24.7220764275,1.4499969485,163.4735637445,16.1875,6.375,-0.1849365235
,2024-11-25T04:26:45.001Z,37.5497759477,127.0740904535,24.1800232046,1.009994507,178.9425497825,16.1875,6.375,-0.1585083008
,2024-11-25T04:26:46.001Z,37.5497130415,127.0741464446,35.1893921062,1.2543182375,175.3774319066,14.1875,10.0625,-0.105682373
,2024-11-25T04:26:47.001Z,37.5497020612,127.0741385657,35.3852539227,1.1329040529,195.2959487296,14.1875,10.0625,-0.0686950683
,2024-11-25T04:26:48.001Z,37.5496884406,127.0741372246,35.0173340006,1.0228271486,178.4866102082,14.1875,10.0625,-0.0475463867
,2024-11-25T04:26:49.001Z,37.5496742333,127.0741404097,34.7580261392,1.1896514895,168.560311284,14.1875,10.0625,-0.010559082
,2024-11-25T04:26:50.001Z,37.5496597745,127.0741432595,34.6929931802,1.2550354006,164.5008010986,14.1875,10.0625,0.021118164
,2024-11-25T04:26:51.001Z,37.5496492133,127.0741430081,34.7631530923,1.0406951906,170.6807049668,14.1875,10.0625,0.021118164
,2024-11-25T04:26:52.001Z,37.5496387778,127.0741332012,34.8148803873,1.0441589357,208.0732433051,14.1875,10.0625,0.015838623
