"name: LYS1120wens, distance: 18945.753847182, start time: 2024-11-20T07:25:39.289Z, duration: 30670.0200002193",time,latitude,longitude,alt,speed,course,horiz_acc,vert_acc,rel_alt
,2024-11-20T07:25:40.087Z,37.5505495973,127.0735801633,18.1770019615,0.9547882082,-,14.125,1.4375,-
,2024-11-20T07:25:41.104Z,37.5505494716,127.0735958374,19.0571289151,1.0174102785,-,11.5,1.4375,-61.7340698529
,2024-11-20T07:25:41.864Z,37.5505430594,127.073579828,19.5876464934,0.9620056154,-,10.5,1.4375,-61.5755310345
,2024-11-20T07:25:42.503Z,37.5505428918,127.0735736254,19.9412231538,0.9606475832,-,9.8125,1.4375,-61.9718628218
,2024-11-20T07:25:43.104Z,37.5505419698,127.0735706917,20.1618652437,0.9556427004,-,8.0,1.4375,-61.6600952435
,2024-11-20T07:25:43.786Z,37.5505331688,127.0735625613,20.2937316989,0.9492645265,-,7.75,1.4375,-61.8767395307
,2024-11-20T07:25:44.440Z,37.5505250803,127.0735556881,20.4495544528,0.9677124025,-,7.4375,1.4375,-61.6125183392
,2024-11-20T07:25:45.086Z,37.5505192967,127.0735485635,20.5426941013,0.9680480959,-,7.375,1.4375,-61.8080444623
,2024-11-20T07:25:45.779Z,37.5505133875,127.0735419418,20.6355896092,0.9809265139,-,7.0,1.5,-61.7393493939
,2024-11-20T07:25:46.263Z,37.5505060952,127.0735406845,20.6968994237,0.9787292482,-,6.625,1.75,-60.8568420693
,2024-11-20T07:25:47.025Z,37.5504994735,127.0735352363,20.733551035,1.0024414064,-,6.3125,1.75,-61.9877319624
,2024-11-20T07:25:47.565Z,37.5504947797,127.0735325541,20.7728576756,1.0108184816,-,5.75,1.75,-61.2848816203
,2024-11-20T07:25:48.089Z,37.5504908821,127.0735302909,20.8418579198,0.9901580812,-,5.6875,1.75,-61.6336670208
,2024-11-20T07:25:48.839Z,37.5504854758,127.0735255971,20.8831176855,0.9748077394,-,5.125,1.75,-61.9560241987
,2024-11-20T07:25:49.360Z,37.5504820811,127.0735216576,20.911071787,1.0373535158,-,4.875,1.75,-61.5173950481
,2024-11-20T07:25:49.977Z,37.550477974,127.0735159579,20.9277954199,1.0334777834,-,4.75,1.75,-60.9836731241
,2024-11-20T07:25:50.665Z,37.5504745793,127.0735115993,20.9320068456,1.0070037844,-,4.5,1.75,-61.924316435
,2024-11-20T07:25:51.241Z,37.5504620903,127.0735118508,21.1091003516,1.0144348146,-,4.3125,8.0625,-61.823913603
,2024-11-20T07:25:51.746Z,37.5504586956,127.0735088333,21.2149353126,1.0163116457,-,4.3125,8.0625,-61.823913603
,2024-11-20T07:25:52.221Z,37.5504563906,127.0735054805,21.2781677345,1.0422973635,-,4.1875,8.0625,-62.2308044723
,2024-11-20T07:25:52.799Z,37.550451571,127.073500619,21.3159790138,1.0419616701,-,4.1875,8.0625,-62.2149658492
,2024-11-20T07:25:53.378Z,37.5504478829,127.0734941649,21.3385620216,1.1427307131,-,4.25,8.0625,-62.2255249313
,2024-11-20T07:25:53.940Z,37.5504446978,127.0734863698,21.3520813087,1.1619262698,-,4.25,8.0625,-61.7235107709
,2024-11-20T07:25:54.481Z,37.5504435662,127.0734787422,21.3601684669,1.178039551,-,4.3125,8.0625,-61.7235107709
,2024-11-20T07:25:55.098Z,37.5504410936,127.0734696898,21.3650207619,1.1832122805,-,4.3125,8.0625,-62.4104919724
,2024-11-20T07:25:55.564Z,37.5504315801,127.0734693545,21.126434336,1.1529541018,-,4.25,7.875,-61.1844787882
,2024-11-20T07:25:56.105Z,37.5504292751,127.0734678458,20.9838562109,1.1972045901,-,4.3125,7.875,-63.0974731739
,2024-11-20T07:25:56.750Z,37.5504265929,127.0734590448,20.8987121679,1.2073974612,-,4.25,7.875,-62.0564270308
,2024-11-20T07:25:57.308Z,37.5504240783,127.0734515849,20.8478088475,1.2227020266,-,4.1875,7.875,-62.0352783491
,2024-11-20T07:25:57.870Z,37.5504206837,127.0734438735,20.8174438573,1.2203826907,-,4.1875,7.875,-61.3905639934
,2024-11-20T07:25:58.432Z,37.5504161993,127.0734385929,20.7992858983,1.2609710696,-,4.125,7.875,-61.8873291303
,2024-11-20T07:25:59.065Z,37.5504100805,127.0734316359,20.7884521581,1.2852020266,-,4.0625,7.875,-61.7922058393
,2024-11-20T07:25:59.606Z,37.5504067697,127.0734261877,20.7820129491,1.2751770022,-,4.0,7.875,-61.8609009077
,2024-11-20T07:26:00.103Z,37.5504038779,127.073420488,20.7781372167,1.2752227786,-,4.0,7.875,-62.0986938765
,2024-11-20T07:26:00.708Z,37.5504002737,127.0734173867,20.7758483983,1.2573547366,-,3.9375,7.8125,-61.8820495893
,2024-11-20T07:26:01.327Z,37.5503952865,127.0734154589,20.7744751073,1.261520386,-,3.875,7.8125,-61.7287903119
,2024-11-20T07:26:02.177Z,37.5503870722,127.073409843,20.7736816502,1.2355804446,-,3.875,7.875,-61.5649719524
,2024-11-20T07:26:03.187Z,37.5503779779,127.0734022993,20.7732238866,1.2604217532,-,3.9375,7.875,-61.5596924114
,2024-11-20T07:26:04.092Z,37.5503729906,127.0733966834,20.7729492284,1.2038269045,-,3.875,7.875,-62.4157715134
,2024-11-20T07:26:04.768Z,37.5503691769,127.0733924925,20.7727966405,1.1555633547,-,3.875,7.875,-62.341796904
,2024-11-20T07:26:05.705Z,37.5503606692,127.0733904808,20.7727050877,1.1985168459,-,3.9375,7.875,-61.6865234662
,2024-11-20T07:26:06.232Z,37.5503552629,127.0733910675,20.7726440526,1.2857055667,-,4.0625,7.875,-62.1885376266
,2024-11-20T07:26:07.121Z,37.5503383734,127.0733950908,20.8128662206,1.2842712405,-,4.25,5.5,-61.5438232708
,2024-11-20T07:26:08.174Z,37.5503285665,127.0733858707,20.8368835546,1.3141784671,-,4.3125,5.4375,-65.7133179016
,2024-11-20T07:26:08.900Z,37.5503249623,127.0733748905,20.8512878515,1.3220062258,-,4.4375,5.375,-59.6519470492
,2024-11-20T07:26:09.724Z,37.5503243756,127.0733597192,20.8598938085,1.3256988528,-,4.75,5.4375,-60.6296081825
,2024-11-20T07:26:10.229Z,37.5503239984,127.0733504991,20.8650817968,1.3605804446,-,5.0625,5.5,-61.6125183392
,2024-11-20T07:26:10.701Z,37.5503211905,127.0733434583,20.8681640722,1.3749237063,-,5.125,5.5,-61.9084472944
,2024-11-20T07:26:11.241Z,37.5503194722,127.0733358308,20.8700256444,1.3810729983,-,5.375,5.5,-60.7141418739
,2024-11-20T07:26:11.749Z,37.5503160775,127.0733301311,20.8711547948,1.3777313235,-,5.5,5.5,-61.0576477335
,2024-11-20T07:26:12.203Z,37.5503129762,127.0733249343,20.8718566991,1.3879089358,-,5.5625,5.4375,-61.7499389935
,2024-11-20T07:26:12.725Z,37.5503023731,127.0733144569,20.8722839452,1.4220886233,-,5.625,4.0625,-61.6495056439
,2024-11-20T07:26:13.229Z,37.5503004872,127.0733105174,20.8725280858,1.4378051761,-,5.6875,4.0,-61.8926086713
,2024-11-20T07:26:14.175Z,37.5502902612,127.0733009621,20.8727111913,1.4448852542,-,5.8125,4.0,-61.2954407023
,2024-11-20T07:26:14.824Z,37.5502844777,127.0732923287,20.8728332616,1.425949097,-,5.875,4.0,-61.7129211713
,2024-11-20T07:26:15.299Z,37.550281586,127.0732842821,20.8728942968,1.4287109378,-,6.0,4.0,-61.7974853803
,2024-11-20T07:26:15.885Z,37.5502759701,127.0732765707,20.8729858495,1.4365692142,-,6.0625,4.0,-61.744628935
