"name: LYS1119tues, distance: 15055.782593671, start time: 2024-11-19T01:18:18.234Z, duration: 41933.23300004",time,latitude,longitude,alt,speed,course,horiz_acc,vert_acc,rel_alt
,2024-11-19T01:18:18.888Z,37.5541072961,127.0737214822,14.3213195867,0.8791198732,-,7.0,1.0,-
,2024-11-19T01:18:19.580Z,37.5541033985,127.0737194705,14.0998840397,0.9010314943,-,6.625,1.0,-142.7250366875
,2024-11-19T01:18:20.078Z,37.5540993752,127.0737166206,13.9675598209,0.9136810304,-,6.5,1.0625,-142.7409058281
,2024-11-19T01:18:20.758Z,37.5540937594,127.0737159501,13.8885192935,0.9067840578,-,6.375,1.0625,-142.7409058281
,2024-11-19T01:18:21.281Z,37.5540867605,127.0737138546,13.8412780826,0.918197632,-,6.375,1.0625,-142.9311524103
,2024-11-19T01:18:21.764Z,37.5540850841,127.0737135193,13.8130493228,0.9176025392,-,6.3125,1.0,-142.9469910333
,2024-11-19T01:18:22.487Z,37.554073559,127.0737103342,13.7961731021,0.9362030031,-,5.25,1.0,-142.8360291192
,2024-11-19T01:18:23.077Z,37.5540680688,127.0737073167,13.7861023013,0.9773559572,-,5.125,1.0,-142.6616211601
,2024-11-19T01:18:23.778Z,37.5540625787,127.0737060595,13.7800903384,0.9394226076,-,5.0,1.0,-143.2323609065
,2024-11-19T01:18:24.405Z,37.5540555798,127.0737050536,13.7765197818,0.9548950197,-,4.9375,1.0,-143.0421143244
,2024-11-19T01:18:25.008Z,37.554049461,127.0737038802,13.7743530337,0.9540405275,-,4.9375,1.0,-142.6827698418
,2024-11-19T01:18:25.603Z,37.5540405762,127.0737020361,13.773101813,0.9576721193,-,4.875,1.0,-143.6392822934
,2024-11-19T01:18:26.087Z,37.5540348765,127.073700695,13.7723388736,0.9529876711,-,4.875,1.0,-150.4669190153
,2024-11-19T01:18:26.706Z,37.5540268718,127.0736984319,13.7718811099,1.0171661379,-,4.875,1.0625,-139.0681458167
,2024-11-19T01:18:27.227Z,37.554030476,127.0737009465,13.6911010805,1.0149688723,-,4.9375,1.0,-140.6693421065
,2024-11-19T01:18:28.081Z,37.5540231837,127.0737013656,13.6428527895,1.0668945314,-,5.0625,1.0,-142.6986084648
,2024-11-19T01:18:28.786Z,37.5540129997,127.073700695,13.6140136782,1.1280670168,-,5.125,1.0,-142.4343872733
,2024-11-19T01:18:29.467Z,37.5540034863,127.0736916426,13.5968017641,1.1526336672,-,5.25,1.0,-141.4884644213
,2024-11-19T01:18:30.083Z,37.5539962778,127.0736838474,13.5865173403,1.1096343996,-,5.25,1.0,-142.6774903008
,2024-11-19T01:18:31.080Z,37.5539867644,127.0736701849,13.5804138246,1.104324341,-,5.25,1.0625,-141.5941467944
,2024-11-19T01:18:32.064Z,37.5539796817,127.0736504874,13.4158020082,1.1441192629,-,5.125,1.0,-143.2429199885
,2024-11-19T01:18:32.863Z,37.5539793883,127.0736415188,13.3174438538,1.138687134,-,5.0625,1.0,-142.983978338
,2024-11-19T01:18:34.003Z,37.5539735629,127.0736296165,13.2587280335,1.147583008,-,4.875,1.0,-143.5177307797
,2024-11-19T01:18:34.740Z,37.5539708807,127.0736201449,13.2236328186,1.1359100344,-,4.6875,1.0,-143.4278870296
,2024-11-19T01:18:35.882Z,37.553964678,127.0736065663,13.20269776,1.1608276369,-,4.25,1.0,-143.0949707697
,2024-11-19T01:18:36.927Z,37.5539617863,127.0735936581,13.1902160705,1.0808105471,-,4.0625,1.0,-143.1953736018
,2024-11-19T01:18:37.422Z,37.553962373,127.0735863659,13.1827697815,1.0577850344,-,4.0,1.0,-142.6563416191
,2024-11-19T01:18:38.083Z,37.553958685,127.0735791574,13.1783142151,1.0574188234,-,4.0,1.0,-143.7766724302
,2024-11-19T01:18:39.074Z,37.5539562961,127.0735629804,13.1756897034,1.1139221193,-,4.0625,1.0,-145.4941406927
,2024-11-19T01:18:39.625Z,37.5539527757,127.0735527544,13.1741638244,1.1494140627,-,4.125,1.0,-143.0209656427
,2024-11-19T01:18:40.077Z,37.5539524824,127.0735442887,13.1732482971,1.1340637209,-,4.1875,1.0,-144.2469788269
,2024-11-19T01:18:40.802Z,37.5539497583,127.0735292851,13.1727294983,1.1433410647,-,4.25,1.0,-143.496582098
,2024-11-19T01:18:41.620Z,37.5539534882,127.0735037203,13.1724548401,1.1494445803,-,4.3125,1.0,-143.2376404475
,2024-11-19T01:18:42.077Z,37.5539531948,127.0734970986,13.1723022522,1.1372070315,-,4.1875,1.0,-142.3973999686
,2024-11-19T01:18:42.702Z,37.5539502612,127.0734874594,13.172241217,1.1851196291,-,4.125,1.0,-143.0156861017
,2024-11-19T01:18:44.078Z,37.5539428851,127.073470528,13.172241217,1.2338562014,-,3.875,1.0,-143.2218018245
,2024-11-19T01:18:44.767Z,37.5539358862,127.0734646606,13.172241217,1.3057556155,-,3.6875,1.0,-145.0079651554
,2024-11-19T01:18:45.305Z,37.5539302703,127.0734599668,13.172241217,1.3747558596,-,3.5625,1.0,-142.9522705743
,2024-11-19T01:18:46.078Z,37.5539215951,127.0734509981,13.132019049,1.3577117923,-,3.5,1.0,-143.6551209165
,2024-11-19T01:18:47.077Z,37.5539150991,127.0734476454,13.108001715,1.2701110842,-,3.5,1.0,-145.2087708195
,2024-11-19T01:18:47.684Z,37.5539092737,127.0734465557,13.0936279357,1.2329711916,-,3.5,1.0,-143.0262757013
,2024-11-19T01:18:48.907Z,37.5538986706,127.0734432868,13.0850524963,1.156051636,-,3.625,1.0,-142.9205628106
,2024-11-19T01:18:49.706Z,37.5538918812,127.0734416942,13.0799255432,1.1303405764,-,3.75,1.0,-143.7872315122
